ticker,n_trades,n_years,win_rate,win_rate_target,win_rate_target_robust,pct_exit_take,pct_exit_stop,pct_exit_time,ret_total,ret_ann_pct,bh_ann_pct,alpha_ann_pp,mdd_pct,sharpe,big_wins_pct,big_losses_pct,wr_non_target_pp,wr_non_target_robust_pp
MXRF11.SA,89,26.8,60.67,68.54,68.54,68.54,31.46,0.0,-0.1036,-0.41,2.64,-3.05,12.07,-0.419,0.0,3.37,-7.8700000000000045,-7.8700000000000045
ECOR3.SA,42,26.8,59.52,59.52,59.52,59.52,40.48,0.0,-0.0468,-0.18,1.9,-2.08,13.69,-0.138,0.0,28.57,0.0,0.0
ENGI11.SA,61,26.8,59.02,60.66,60.66,60.66,37.7,1.64,0.0966,0.34,9.49,-9.14,12.46,0.06,4.92,13.11,-1.6399999999999935,-1.6399999999999935
SMTO3.SA,29,26.8,58.62,41.38,41.38,41.38,58.62,0.0,0.0421,0.15,5.32,-5.16,12.09,0.019,10.34,34.48,17.239999999999995,17.239999999999995
ITUB4.SA,24,26.8,58.33,58.33,58.33,58.33,41.67,0.0,-0.0621,-0.24,11.06,-11.29,12.9,-0.166,0.0,37.5,0.0,0.0
VISC11.SA,72,26.8,58.33,66.67,66.67,66.67,33.33,0.0,-0.0954,-0.37,1.63,-2.0,13.7,-0.33,0.0,4.17,-8.340000000000003,-8.340000000000003
EGIE3.SA,48,26.8,58.33,56.25,56.25,56.25,43.75,0.0,-0.0853,-0.33,11.38,-11.72,13.93,-0.195,2.08,35.42,2.0799999999999983,2.0799999999999983
BRCR11.SA,79,26.8,56.96,65.82,65.82,65.82,34.18,0.0,-0.1354,-0.54,-1.7,1.16,14.21,-0.444,0.0,6.33,-8.859999999999992,-8.859999999999992
XPLG11.SA,120,26.8,56.67,71.67,71.67,71.67,28.33,0.0,-0.0577,-0.22,0.83,-1.05,11.09,-0.307,0.0,3.33,-15.0,-15.0
UNIP6.SA,71,26.8,56.34,53.52,53.52,53.52,46.48,0.0,-0.0564,-0.22,11.02,-11.24,17.18,-0.173,2.82,32.39,2.8200000000000003,2.8200000000000003
BTLG11.SA,72,26.8,55.56,63.89,63.89,63.89,36.11,0.0,0.0013,0.0,1.65,-1.65,12.19,-0.097,1.39,12.5,-8.329999999999998,-8.329999999999998
AXIA3.SA,20,26.8,55.0,50.0,50.0,50.0,50.0,0.0,-0.0284,-0.11,7.04,-7.15,12.83,-0.123,0.0,40.0,5.0,5.0
MDIA3.SA,51,26.8,54.9,49.02,49.02,49.02,50.98,0.0,0.0494,0.18,5.93,-5.75,13.34,-0.032,5.88,27.45,5.8799999999999955,5.8799999999999955
RANI3.SA,11,26.8,54.55,27.27,27.27,27.27,72.73,0.0,-0.0018,-0.01,11.69,-11.69,19.66,0.008,27.27,45.45,27.279999999999998,27.279999999999998
PRIO3.SA,11,26.8,54.55,54.55,54.55,54.55,45.45,0.0,-0.0225,-0.08,2.6,-2.69,13.55,-0.124,0.0,27.27,0.0,0.0
FLRY3.SA,30,26.8,53.33,53.33,53.33,53.33,46.67,0.0,-0.0875,-0.34,4.77,-5.11,12.11,-0.216,0.0,40.0,0.0,0.0
ABEV3.SA,15,26.8,53.33,53.33,53.33,53.33,46.67,0.0,-0.1072,-0.42,7.88,-8.3,12.15,-0.286,0.0,40.0,0.0,0.0
ALZR11.SA,71,26.8,52.11,57.75,57.75,57.75,42.25,0.0,-0.1261,-0.5,1.82,-2.32,13.17,-0.47,0.0,2.82,-5.640000000000001,-5.640000000000001
JHSF3.SA,49,26.8,51.02,36.73,36.73,36.73,63.27,0.0,0.5043,1.54,3.51,-1.97,12.73,0.197,10.2,36.73,14.290000000000006,14.290000000000006
KNCR11.SA,55,26.8,50.91,61.82,61.82,61.82,38.18,0.0,-0.1145,-0.45,2.14,-2.59,12.25,-0.382,0.0,5.45,-10.910000000000004,-10.910000000000004
MBRF3.SA,20,26.8,50.0,30.0,30.0,30.0,70.0,0.0,-0.0067,-0.03,2.52,-2.54,12.93,-0.024,15.0,50.0,20.0,20.0
SBSP3.SA,20,26.8,50.0,50.0,50.0,50.0,50.0,0.0,-0.109,-0.43,16.22,-16.65,14.18,-0.277,0.0,45.0,0.0,0.0
BRKM5.SA,8,26.8,50.0,50.0,50.0,50.0,50.0,0.0,-0.0625,-0.24,-2.27,2.03,12.54,-0.146,0.0,50.0,0.0,0.0
TRXF11.SA,107,26.8,49.53,69.16,69.16,69.16,30.84,0.0,-0.0577,-0.22,0.76,-0.98,11.28,-0.379,0.0,0.93,-19.629999999999995,-19.629999999999995
KNHY11.SA,39,26.8,48.72,61.54,61.54,61.54,38.46,0.0,-0.1145,-0.45,1.83,-2.28,12.54,-0.502,0.0,7.69,-12.82,-12.82
HGPO11.SA,19,26.8,47.37,47.37,47.37,47.37,52.63,0.0,-0.1257,-0.5,2.26,-2.76,12.57,-0.386,0.0,31.58,0.0,0.0
TCSA3.SA,9,26.8,44.44,33.33,33.33,33.33,66.67,0.0,-0.0802,-0.31,-15.03,14.72,13.6,-0.189,0.0,44.44,11.11,11.11
BBDC4.SA,12,26.8,41.67,41.67,41.67,41.67,58.33,0.0,-0.0943,-0.37,3.2,-3.57,15.39,-0.256,0.0,33.33,0.0,0.0
DIRR3.SA,12,26.8,41.67,33.33,33.33,33.33,66.67,0.0,-0.1007,-0.4,8.86,-9.26,12.16,-0.188,8.33,50.0,8.340000000000003,8.340000000000003
HGLG11.SA,17,26.8,41.18,47.06,47.06,47.06,52.94,0.0,-0.1362,-0.55,3.0,-3.55,14.34,-0.468,0.0,17.65,-5.880000000000003,-5.880000000000003
DOGE-USD,5,26.8,40.0,0.0,0.0,0.0,100.0,0.0,0.1705,0.59,1.01,-0.42,25.7,0.103,40.0,60.0,40.0,40.0
XPBR31.SA,8,26.8,37.5,37.5,37.5,37.5,62.5,0.0,-0.1165,-0.46,-2.71,2.24,16.6,-0.35,0.0,62.5,0.0,0.0
