Date,ticker,close,signal_eod,score_100,confidence,best_buy_value,stop_loss,stop_pct,take_profit,take_pct,exit_rules,Channel Breakout_last5d,Channel Breakout_last20d,Double Top/Bottom_last5d,Double Top/Bottom_last20d,Head & Shoulders_last5d,Head & Shoulders_last20d,Triangle Breakout_last5d,Triangle Breakout_last20d,Wedge Breakout_last5d,Wedge Breakout_last20d,RSI_status,SMA_Cross_last5d
2026-03-17,ASAI3.SA,7.95,hold,23.4,71.5,7.7863,7.1786,9.7,8.7214,9.7,"Stop: -9.7% (2.0xATR, breakeven); Take: +9.7% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(4d),---,BEAR(1d),---,MIXED(B1/S1),BULL(2d),BULL(5d),BULL(1d),BULL(4d),NEUTRAL(32),---
2026-03-17,GRND3.SA,4.57,hold,36.9,71.2,4.5063,4.2743,6.47,4.8657,6.47,"Stop: -6.5% (2.0xATR, breakeven); Take: +6.5% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(5d),---,MIXED(B1/S1),---,BEAR(1d),BULL(1d),BULL(6d),BULL(2d),BULL(5d),NEUTRAL(37),---
2026-03-17,BCIA11.SA,93.92,hold,31.9,71.2,93.3479,91.2414,2.85,96.5986,2.85,"Stop: -2.9% (2.0xATR, breakeven); Take: +2.9% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(5d),---,MIXED(B1/S1),---,BEAR(1d),BULL(2d),BULL(5d),BULL(2d),BULL(5d),NEUTRAL(48),---
2026-03-17,PSSA3.SA,48.0,hold,14.1,71.0,47.4133,45.2686,5.69,50.7314,5.69,"Stop: -5.7% (2.0xATR, breakeven); Take: +5.7% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(4d),---,MIXED(B2/S2),---,MIXED(B2/S1),BULL(1d),BULL(5d),BULL(1d),BULL(4d),NEUTRAL(32),---
2026-03-17,HFOF11.SA,6.82,hold,31.3,69.2,6.7842,6.6529,2.45,6.9871,2.45,"Stop: -2.5% (2.0xATR, breakeven); Take: +2.5% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(8d),---,MIXED(B1/S1),---,BULL(1d),BULL(2d),BULL(6d),---,BULL(8d),NEUTRAL(51),---
2026-03-17,XPLG11.SA,101.71,hold,17.1,68.9,101.359,100.0571,1.63,103.3629,1.63,"Stop: -1.6% (2.0xATR, breakeven); Take: +1.6% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(7d),---,MIXED(B1/S1),---,---,BULL(1d),BULL(6d),---,BULL(7d),NEUTRAL(44),SMA5x20:DEATH
2026-03-17,HAPV3.SA,8.62,hold,25.0,68.8,8.4207,7.6886,10.81,9.5514,10.81,"Stop: -10.8% (2.0xATR, breakeven); Take: +10.8% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(1d),---,BULL(2d),---,BULL(1d),BULL(1d),BULL(3d),---,BULL(2d),OVERSOLD(22),---
2026-03-17,WIZC3.SA,9.0,hold,14.1,67.7,8.8738,8.4043,6.62,9.5957,6.62,"Stop: -6.6% (2.0xATR, breakeven); Take: +6.6% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(8d),---,BEAR(1d),---,BEAR(1d),BULL(1d),BULL(5d),BULL(1d),BULL(8d),NEUTRAL(37),SMA5x20:DEATH
2026-03-17,BBDC4.SA,18.85,hold,6.7,67.6,18.5528,17.4329,7.52,20.2671,7.52,"Stop: -7.5% (2.0xATR, breakeven); Take: +7.5% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(4d),---,MIXED(B2/S1),---,MIXED(B1/S1),BULL(1d),BULL(5d),---,BULL(4d),OVERSOLD(27),---
2026-03-17,IVVB11.SA,393.15,hold,19.4,67.5,391.0584,383.3771,2.49,402.9228,2.49,"Stop: -2.5% (2.0xATR, breakeven); Take: +2.5% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(7d),---,MIXED(B1/S1),---,---,---,BULL(5d),BULL(2d),BULL(7d),NEUTRAL(33),---
2026-03-17,IGTI11.SA,26.93,hold,34.9,67.5,26.522,25.0429,7.01,28.8171,7.01,"Stop: -7.0% (2.0xATR, breakeven); Take: +7.0% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(4d),---,MIXED(B2/S1),---,BULL(2d),BULL(2d),BULL(5d),BULL(1d),BULL(4d),NEUTRAL(40),---
